t,s,lateral,lateralV,speed,yawOffset,yawRate,lean,steer,slipFront,slipRear,grip,loadFracFront,longAccel,suspFront,suspRear,wheelie,airY,airVY,boost,slipstream,onRoad,airborne
0.701,14.534612355805358,0,0,8.333011558060726,0,0,0,0,0,0,1,0.08,9.409672247925327,0.1299564232995662,-0.1299564232995662,0.44540630541601295,0,0,0,0.5180798224875844,1,0
0.731,14.818114976248888,0,0,8.607023576978749,0,0,0,0,0,0,1,0.08,8.99716197639319,0.1290574080520005,-0.1290574080520005,0.4616749497573317,0,0,0,0.4677639308507834,1,0
0.751,14.96323413354378,0,0,8.740334552369868,0,0,0,0,0,0,1,0.08,8.807104010325608,0.12825773836188561,-0.12825773836188561,0.46913417832797144,0,0,0,0.44418862873590365,1,0
0.778,15.2600198007362,0,0,9.000494809898537,0,0,0,0,0,0,1,0.08781258909653611,8.459663097530907,0.12600021028377237,-0.12600021028377237,0.48106441106259934,0,0,0,0.4009224264701113,1,0
0.802,15.411619775983265,0,0,9.127685494318964,0,0,0,0,0,0,1,0.09456118189173096,8.302035251528856,0.12459341573580372,-0.12459341573580372,0.48385864861636463,0,0,0,0.3809564896318993,1,0
0.828,15.721087867171882,0,0,9.377077386317277,0,0,0,0,0,0,1,0.10672893164073649,8.01783138239137,0.12138388753726657,-0.12138388753726657,0.4838790559566452,0,0,0,0.3828700295143703,1,0
0.852,15.878905564125867,0,0,9.499612389560856,0,0,0,0,0,0,1,0.11215290643194387,7.891142828339597,0.11964700347511245,-0.11964700347511245,0.48155191256222557,0,0,0,0.40286592826461565,1,0
0.878,16.200601663824997,0,0,9.74108835185446,0,0,0,0,0,0,1,0.12174156153038368,7.667179241397467,0.11606060709758581,-0.11606060709758581,0.4732322449908804,0,0,0,0.4406294781143263,1,0
0.902,16.36444412579726,0,0,9.860289182060257,0,0,0,0,0,0,1,0.12593794707735095,7.569163664693304,0.1142631953145538,-0.1142631953145538,0.4675972352232642,0,0,0,0.45824361069317265,1,0
0.928,16.69804369455318,0,0,10.096234467296359,0,0,0,0,0,0,1,0.13320733411968783,7.399371553061579,0.11076535783121196,-0.11076535783121196,0.4541665214350242,0,0,0,0.4915562085259983,1,0
0.952,16.86777714685149,0,0,10.213216108694068,0,0,0,0,0,0,1,0.1363060580740849,7.326994214983875,0.10909737012990091,-0.10909737012990091,0.4466494567321289,0,0,0,0.507211736091125,1,0
0.978,17.213066713157584,0,0,10.445770219857485,0,0,0,0,0,0,1,0.14148780738511257,7.2059633560763,0.10598275064881302,-0.10598275064881302,0.43062716218184127,0,0,0,0.5364711248920656,1,0
